entry_sk	member_sk	company_or_school	pos_or_edu_rank	title_or_degree	seniority_or_degree_rank	function_or_field	begin_month	end_month	is_job	is_edu
944652154	47759915	3032869	4	1077	3	16	2/1/2013	2/1/2013	1	0
649423931	122675117	145411	3	29	4	-9	2/1/2012	6/1/2013	1	0
694971827	14055336	382907	2	20079	6	16	3/1/2012	7/1/2013	1	0
1330361154	46366655	145411	1	2744	4	25	8/1/2014	9/29/2014	1	0
1383921518	9323153	62503	5	-9	-9	-9	9/1/2005	9/1/2006	1	0
116981651	753266	20342	5	10611	6	25	6/1/2008	3/1/2009	1	0
288555162	15493864	824116	3	302	4	6	7/1/2010	10/1/2010	1	0
328977151	24309027	72807	6	826	4	24	2/1/2004	2/1/2005	1	0
219038627	47327254	47852	6	455	3	-9	1/1/2007	12/1/2007	1	0
1223001516	92955310	145411	1	1254	4	25	4/1/2014	9/29/2014	1	0
501206502	15217115	23085	3	66	3	2	1/1/2012	8/1/2012	1	0
334370228	12562482	145411	4	5505	5	15	1/1/2011	12/1/2011	1	0
172571666	5468942	66733	6	9	3	8	11/1/1999	1/1/2003	1	0
112949011	387028	147622	7	9	3	8	5/1/2005	9/1/2006	1	0
923758189	240769880	12290	2	967	4	10	3/1/2012	9/1/2013	1	0
133919612	19731012	76382	4	1761	3	2	5/1/1997	4/1/2000	1	0
124844050	12833343	1200074	7	9177	4	20	8/1/2003	9/1/2003	1	0
137714601	14731644	156811	3	9	3	8	9/1/2006	8/1/2009	1	0
168061864	15975968	158165	2	2468	6	25	12/1/2009	5/1/2013	1	0
1142004312	21320972	58262	3	18167	4	6	9/1/2013	11/1/2013	1	0
1143227898	109187483	145411	1	3	4	6	1/1/2014	9/29/2014	1	0
897970618	197695676	145411	1	3378	4	18	2/1/2013	9/29/2014	1	0
1339028938	3387805	145411	1	1095	4	12	8/1/2014	9/29/2014	1	0
729386766	141052670	145411	2	9	3	8	6/1/2012	9/1/2013	1	0
1262592178	9306372	145411	1	696	3	26	5/1/2014	9/29/2014	1	0
856911683	222010791	138628	5	85	5	18	10/1/2001	2/1/2004	1	0
198246998	10837488	87341	6	20	4	25	2/1/2008	8/1/2008	1	0
1234738404	28697045	145411	1	1254	5	25	1/1/2014	9/29/2014	1	0
108634415	41525	144063	7	5940	6	15	8/1/2006	3/1/2007	1	0
997141255	166933231	145411	1	16424	4	25	7/1/2013	9/29/2014	1	0
129061616	13384453	-9	9	5040	3	24	8/1/2002	2/1/2003	1	0
1248767230	340438806	144910	1	519	3	-9	?	9/29/2014	1	0
1075082218	122775423	2377055	3	9608	4	5	6/1/2013	9/1/2013	1	0
1125654572	72454023	8224	2	11	4	25	6/1/2012	5/1/2014	1	0
245638005	65145330	-9	5	4602	4	25	1/1/2003	12/1/2007	1	0
866245212	44113229	63240	7	12343	4	24	1/1/2003	12/1/2004	1	0
110862161	213900	65316	5	90	6	3	7/1/2000	6/1/2003	1	0
465909475	150350141	-9	6	1623	3	13	1/1/2005	12/1/2006	1	0
322652710	53240966	83367	3	3287	3	18	11/1/2007	11/1/2009	1	0
724516995	133599622	145411	2	11246	4	18	6/1/2012	5/1/2013	1	0
485374786	154715266	-9	4	20	4	25	5/1/2006	2/1/2008	1	0
848730466	28355788	65481	6	2463	4	13	10/1/2008	9/1/2010	1	0
388030427	119946976	3534	3	23	3	-9	5/1/2011	10/1/2012	1	0
156640155	34635896	159400	6	5786	4	16	4/1/2007	10/1/2007	1	0
112682154	1829647	68406	3	6480	6	26	3/1/2008	4/1/2010	1	0
144260791	21957736	144929	4	956	3	13	11/1/2003	6/1/2006	1	0
1287321836	7316097	145411	1	2044	4	19	6/1/2014	9/29/2014	1	0
808085694	208720206	139109	5	19366	3	24	1/1/2012	6/1/2012	1	0
1158436085	2646578	145411	2	8591	4	12	1/1/2014	6/1/2014	1	0
806054612	19856035	145411	1	18	9	8	10/1/2012	9/29/2014	1	0
943126530	20853041	145411	1	5759	4	25	4/1/2013	9/29/2014	1	0
278104009	77989129	89152	5	277	2	15	5/1/2010	7/1/2010	1	0
1031868446	41566439	145411	1	2879	4	4	8/1/2013	9/29/2014	1	0
946901461	16720785	145411	1	270	5	19	4/1/2013	9/29/2014	1	0
152658064	25779209	156321	4	2479	3	25	3/1/2002	3/1/2006	1	0
388192560	72380693	455270	5	3943	3	12	1/1/2010	12/1/2010	1	0
1164007415	16172727	145411	1	14173	5	25	1/1/2014	9/29/2014	1	0
160081542	35669295	74701	3	267	5	17	8/1/2005	7/1/2009	1	0
212305942	10738986	8592	5	399	3	24	12/1/2008	12/1/2009	1	0
117710667	2313906	158894	5	9769	6	15	3/1/1999	6/1/2009	1	0
149521561	30317292	1472181	5	21866	5	16	9/1/2006	4/1/2009	1	0
140358389	16521473	5412	7	1457	3	10	7/1/2003	7/1/2004	1	0
829944223	92482512	84348	5	2977	3	26	8/1/2008	11/1/2008	1	0
214016958	30994140	248369	2	6956	4	24	9/1/2009	10/1/2013	1	0
1256683599	6272254	175710	2	121	3	-9	5/1/2012	9/29/2014	1	0
1032892671	115324864	-9	6	14861	3	3	3/1/2003	11/1/2004	1	0
840711750	218760626	158165	3	4050	5	10	12/1/2008	12/1/2012	1	0
288472653	5210753	61073	7	146	4	25	3/1/2004	3/1/2005	1	0
168315460	7012383	31634	2	6411	4	25	1/1/2009	1/1/2011	1	0
1209565172	148285423	3602856	2	1338	3	25	3/1/2014	8/1/2014	1	0
123087377	1321769	68406	4	39	4	8	1/1/2004	12/1/2007	1	0
989992121	15688133	-9	5	482	5	2	7/1/2003	10/1/2003	1	0
962325792	344202	145411	1	3376	4	25	5/1/2013	9/29/2014	1	0
123500461	10014388	47510	4	2	5	-9	9/1/2005	7/1/2007	1	0
111935871	300700	78751	8	134	4	25	1/1/2000	12/1/2002	1	0
168691797	39249238	63196	7	16850	4	23	4/1/2006	4/1/2010	1	0
115200557	3494718	15438	5	393	5	15	1/1/2005	12/1/2006	1	0
1222684908	191612619	145411	1	16911	3	12	4/1/2014	9/29/2014	1	0
1173655783	201291851	6385	3	495	3	12	11/1/2013	8/1/2014	1	0
231721399	9507661	-9	8	5707	3	10	11/1/2009	3/1/2011	1	0
113653288	1912117	154926	9	1754	4	2	1/1/1988	12/1/1996	1	0
448124573	12940733	145411	2	16650	4	26	9/1/2011	4/1/2013	1	0
832953740	1378648	-9	2	126	1	-9	9/1/2012	12/1/2012	1	0
805214647	13921316	156875	2	7276	4	10	10/1/2012	8/1/2013	1	0
488240042	157221964	74462	4	3722	3	26	8/1/2011	2/1/2012	1	0
348070316	58031848	142487	3	1765	4	25	2/1/2011	2/1/2013	1	0
1062010105	286913326	39067	3	1464	3	24	1/1/2013	2/1/2014	1	0
194857173	2633896	59205	4	4710	4	25	6/1/2009	8/1/2010	1	0
705906603	163182814	-9	8	183	4	-9	8/1/2008	12/1/2010	1	0
123002340	1286234	152633	7	10357	4	8	6/1/2004	5/1/2005	1	0
680884367	95576776	51628	4	11	4	25	6/1/2004	5/1/2007	1	0
175525700	28930569	-9	8	354	3	7	7/1/2004	8/1/2005	1	0
151043926	19183067	137588	4	5510	9	13	1/1/1992	4/1/2012	1	0
971754785	256030493	71660	3	51	4	24	2/1/2009	8/1/2009	1	0
935374736	25292514	3010025	4	35	10	9	10/1/2006	3/1/2009	1	0
131686822	13750037	68406	3	37	5	-9	5/1/2007	2/1/2008	1	0
141949260	18052156	144635	6	36	4	-9	1/1/2000	1/1/2004	1	0
319350419	5646834	-9	5	17645	2	11	8/1/2006	8/1/2007	1	0
190164618	46325875	48678	6	27	5	19	3/1/2009	7/1/2010	1	0
265018007	4435217	51987	3	5842	7	18	4/1/2010	2/1/2013	1	0
139322720	14844025	159432	4	793	4	25	1/1/2006	12/1/2007	1	0
741098536	121347309	138628	3	275	2	-9	2/1/2012	2/1/2013	1	0
334228661	98934173	35449	4	6615	4	2	11/1/2010	8/1/2012	1	0
1286447611	160769697	-9	2	15620	5	15	6/1/2014	8/1/2014	1	0
133213944	18313275	99665	4	715	4	25	2/1/2008	8/1/2010	1	0
118793372	3832156	-9	6	520	7	8	11/1/2003	4/1/2006	1	0
196143903	5386819	42088	27	3130	3	26	1/1/1999	2/1/2000	1	0
191953531	25598550	44299	5	268	4	12	7/1/2006	2/1/2008	1	0
1059439113	286075395	46369	1	1667	4	13	7/1/2006	9/29/2014	1	0
688096386	11142811	145411	2	845	5	25	4/1/2012	1/1/2014	1	0
126708739	7482154	73733	5	74	3	24	1/1/2005	12/1/2006	1	0
457634233	30810469	-9	2	7176	3	13	10/1/2011	4/1/2013	1	0
1196035264	138646754	145411	2	5759	4	25	3/1/2014	7/1/2014	1	0
244007269	36700479	153795	3	423	3	-9	9/1/2006	8/1/2008	1	0
268857965	10299256	145411	1	23823	4	13	4/1/2010	9/29/2014	1	0
446168991	65657793	-9	10	2970	3	7	6/1/2006	6/1/2007	1	0
112021143	307397	23364	7	32	3	8	1/1/1992	12/1/1993	1	0
389669014	5844316	76347	3	196	4	1	6/1/2011	4/1/2013	1	0
220095047	14352396	1233135	8	277	2	15	9/1/2004	4/1/2005	1	0
852446998	2762242	145411	1	1586	4	8	12/1/2012	9/29/2014	1	0
818179215	20947585	145411	1	6068	3	25	10/1/2012	9/29/2014	1	0
133466513	14052482	145559	8	16550	3	8	9/1/2006	12/1/2006	1	0
907349863	13716136	-9	9	12126	3	26	9/1/2008	2/1/2010	1	0
1234090909	336090762	98973	2	5020	2	13	3/1/2014	9/29/2014	1	0
162027204	37089700	158925	3	22	4	6	3/1/2007	5/1/2010	1	0
944238498	142261550	145411	1	5911	4	25	4/1/2013	9/29/2014	1	0
269430200	4331557	-9	14	160	3	3	2/1/1996	1/1/1997	1	0
1102979806	11668797	145411	1	4419	9	12	11/1/2013	9/29/2014	1	0
639675782	55867585	1164118	4	3	4	6	2/1/2011	5/1/2011	1	0
1319098003	180072640	145411	1	13686	5	25	8/1/2014	9/29/2014	1	0
866895041	30516718	152563	4	19845	4	13	5/1/2011	8/1/2011	1	0
1077463264	51825638	145411	1	4236	6	25	9/1/2013	9/29/2014	1	0
316786925	91973277	24707	6	10036	3	10	9/1/2010	4/1/2011	1	0
353433842	5746228	31020	6	8205	3	26	1/1/2006	5/1/2010	1	0
128948112	13344752	-9	5	5006	4	1	1/1/1991	12/1/1995	1	0
193480150	43037219	146226	2	2190	4	6	7/1/2008	8/1/2013	1	0
771901311	4601897	20787	3	6235	4	16	8/1/2012	9/1/2013	1	0
668317463	3308462	7974	6	20	4	25	4/1/2001	8/1/2001	1	0
1069063136	133781167	67486	2	1122	4	12	8/1/2012	10/1/2013	1	0
145107118	22895524	156321	4	3614	5	25	11/1/2006	11/1/2009	1	0
389311280	55586631	10592	5	97	3	25	12/1/2004	12/1/2005	1	0
351222139	12385882	88205	2	1453	2	-9	9/1/2010	7/1/2012	1	0
257052946	64115854	-9	8	20224	2	15	2/1/2010	6/1/2010	1	0
683570284	23794322	-9	2	2868	3	13	3/1/2012	5/1/2013	1	0
1337539053	293700595	145411	1	1478	5	25	8/1/2014	9/29/2014	1	0
117439743	797213	377620	7	332	4	24	1/1/1988	12/1/1996	1	0
459384696	39800194	-9	6	1790	4	12	11/1/2008	2/1/2010	1	0
732927385	14924299	22034	5	1583	3	8	8/1/2009	12/1/2009	1	0
372659954	114114491	143949	4	100	3	13	5/1/2011	8/1/2012	1	0
1311199050	96148902	145411	1	13040	4	13	7/1/2014	9/29/2014	1	0
452345710	41581020	812986	3	10	3	8	1/1/2011	9/29/2014	1	0
192172776	2639638	-9	4	25	3	3	1/1/2003	11/1/2009	1	0
503934724	93602308	144834	5	633	2	8	6/1/2010	3/1/2011	1	0
702755196	181749790	158165	6	824	4	25	2/1/2005	7/1/2007	1	0
897110669	84234681	399104	2	9	3	8	2/1/2013	8/1/2014	1	0
992810650	105967021	145411	1	175	6	25	6/1/2013	9/29/2014	1	0
280873784	56916978	3265985	7	9078	10	9	6/1/2010	6/1/2011	1	0
221765466	13269712	416796	4	59	3	13	7/1/2006	12/1/2006	1	0
314676514	91972266	2308272	4	11	4	25	4/1/2010	9/1/2010	1	0
374827526	18968421	79940	4	1673	5	25	4/1/2004	1/1/2008	1	0
1033131597	7188245	145411	1	20545	5	25	1/1/2013	9/29/2014	1	0
118717696	2414223	83367	7	4433	4	16	1/1/2007	11/1/2009	1	0
874903964	110276209	145411	1	3287	3	18	1/1/2013	9/29/2014	1	0
129272351	10717435	83008	7	801	3	12	1/1/2007	1/1/2008	1	0
1203942808	24429091	145411	1	2286	5	25	3/1/2014	9/29/2014	1	0
646345832	165649426	-9	5	3496	3	5	1/1/2005	1/1/2013	1	0
212669194	52694637	135407	3	3085	4	13	4/1/2010	3/1/2012	1	0
1245785839	103450234	145411	1	32	3	8	4/1/2014	9/29/2014	1	0
377578430	35936086	18793	7	990	4	22	2/1/2006	6/1/2007	1	0
368999448	74130548	84050	4	3052	3	24	3/1/2011	5/1/2011	1	0
883504571	40798883	-9	9	2058	3	26	1/1/1981	1/1/1990	1	0
242684234	64157750	2431177	4	1443	4	25	11/1/2008	5/1/2011	1	0
1204514284	22517126	145411	1	20	4	25	3/1/2014	9/29/2014	1	0
290183210	31565951	-9	6	297	4	15	1/1/2007	6/1/2007	1	0
687352858	176425216	-9	5	8412	2	16	4/1/2011	5/1/2011	1	0
390855618	85708148	156811	4	651	3	8	5/1/2011	9/1/2011	1	0
111156013	236927	24689	15	495	3	12	8/1/1996	2/1/1998	1	0
157263422	33785563	83367	4	18830	5	15	4/1/2009	8/1/2010	1	0
353186717	25885760	3108	5	11050	2	3	6/1/2010	8/1/2010	1	0
1105214237	32412051	-9	1	19012	5	18	11/1/2013	9/29/2014	1	0
1224310386	40853457	145857	2	5518	4	24	4/1/2014	7/1/2014	1	0
137512252	20347596	146906	4	252	4	24	7/1/2004	1/1/2008	1	0
185149216	44551022	-9	7	904	3	26	11/1/2004	5/1/2005	1	0
1298825328	56929033	-9	8	364	4	-9	1/1/2010	12/1/2010	1	0
256871899	65464811	62467	4	18783	5	15	12/1/2009	10/1/2012	1	0
465470979	25055787	-9	4	11	4	25	12/1/2003	11/1/2004	1	0
231651838	25031105	627958	6	16	7	-9	10/1/2009	4/1/2010	1	0
455397263	141611606	145411	4	91	3	12	10/1/2011	3/1/2012	1	0
131851825	11082085	159367	12	31	3	25	11/1/2004	6/1/2005	1	0
285742377	23622046	567841	3	122	3	8	6/1/2010	4/1/2011	1	0
332785876	98469984	-9	4	3443	2	16	4/1/2009	9/1/2009	1	0
214780210	5472511	357754	4	2047	5	26	9/1/2009	9/1/2010	1	0
668745260	401201	2100697	2	1082	4	18	1/1/2012	1/1/2014	1	0
1046514422	53412479	399104	2	61	3	-9	7/1/2013	8/1/2014	1	0
697126539	31994762	155696	3	20	4	25	4/1/2012	8/1/2014	1	0
1153092653	17758420	145411	1	17902	5	13	1/1/2014	9/29/2014	1	0
181832031	5092826	39664	2	2983	4	25	9/1/2008	12/1/2012	1	0
194344089	14174662	51987	5	4088	2	16	6/1/2008	12/1/2008	1	0
121760638	4171776	18830	5	36	4	-9	8/1/2004	4/1/2005	1	0
416871220	131449906	145411	2	1438	3	8	7/1/2011	4/1/2013	1	0
446555434	38646313	145411	2	4358	4	12	9/1/2011	8/1/2013	1	0
1300411575	334961282	144910	1	9656	4	18	8/1/2010	9/29/2014	1	0
1364345525	105263175	145411	1	164	3	26	9/1/2014	9/29/2014	1	0
269159491	6278830	-9	6	931	4	15	1/1/1995	12/1/1996	1	0
1281388955	22442801	145411	1	2044	4	19	6/1/2014	9/29/2014	1	0
309517205	22383554	885762	5	202	6	-9	12/1/2008	12/1/2009	1	0
300256519	28572150	3812059	3	2879	4	4	1/1/2009	12/1/2010	1	0
290985135	3283401	50159	8	960	3	26	8/1/2000	9/1/2001	1	0
126843708	13103901	67327	4	5570	5	25	9/1/1999	6/1/2006	1	0
1178994363	25960384	145411	1	1254	4	25	2/1/2014	9/29/2014	1	0
126260054	7430081	66247	4	3613	3	13	4/1/2007	5/1/2009	1	0
213462521	6356009	120210	5	103	10	9	1/1/2004	12/1/2006	1	0
1323889843	49844663	145411	2	1046	4	24	1/1/2011	1/1/2012	1	0
1147126145	59520858	145411	1	9	3	8	1/1/2014	9/29/2014	1	0
406326845	11368402	142744	3	261	7	4	1/1/2010	5/1/2011	1	0
137258778	14670196	19635	9	443	4	20	4/1/2004	11/1/2006	1	0
146887823	24064889	83367	5	633	2	8	1/1/2006	6/1/2006	1	0
113708111	452671	69068	10	11656	5	15	11/1/2000	9/1/2003	1	0
187040885	45328429	158165	7	-9	-9	-9	8/1/2008	8/1/2009	1	0
384113163	82090986	36419	4	2215	5	15	7/1/2006	12/1/2008	1	0
142066560	19501990	142427	9	780	4	16	1/1/1999	12/1/2000	1	0
292249124	21501	33	4	13472	7	10	7/1/2009	6/1/2010	1	0
457242679	145948890	68406	2	967	4	10	2/1/2010	11/1/2012	1	0
701687389	14118683	83367	6	5671	5	16	1/1/2003	12/1/2007	1	0
140032507	16353292	65710	6	175	6	25	11/1/2006	7/1/2008	1	0
864073892	45435599	406263	4	3778	4	25	10/1/2011	2/1/2013	1	0
1147521798	9213966	145411	1	20545	5	25	1/1/2014	9/29/2014	1	0
1330793988	88509140	145411	1	2317	4	24	8/1/2014	9/29/2014	1	0
870639270	2538153	145411	1	3330	4	25	1/1/2013	9/29/2014	1	0
975781040	1135389	158894	4	10994	4	22	3/1/2006	1/1/2009	1	0
1187456393	24359763	367339	2	4547	9	12	1/1/2012	12/1/2014	1	0
174036162	40851768	31432	6	155	6	20	1/1/1992	12/1/1995	1	0
170136144	39717202	146654	4	3400	3	18	2/1/2008	5/1/2009	1	0
853896240	9991348	60577	4	940	4	13	1/1/2012	12/1/2012	1	0
109755133	4368489	145851	6	13039	3	-9	1/1/2000	12/1/2003	1	0
458265296	100610385	145411	2	5759	4	25	10/1/2011	3/1/2013	1	0
718687836	30914427	145411	2	4639	6	25	6/1/2012	9/1/2013	1	0
389354660	83763820	-9	5	2261	4	-9	4/1/2008	9/1/2009	1	0
405253558	22867018	155031	3	1120	4	18	6/1/2011	10/1/2012	1	0
112092393	314058	-9	10	35	8	9	6/1/1998	7/1/2000	1	0
357635183	26502208	47852	10	5974	5	1	8/1/1993	2/1/1997	1	0
121432405	5537330	62986	3	2402	6	25	11/1/2006	7/1/2011	1	0
491736644	55877196	158894	2	266	3	13	9/1/2011	10/1/2012	1	0
358469040	12111069	633298	6	5325	3	7	1/1/2008	12/1/2010	1	0
348829004	103949123	18454	3	124	4	7	8/1/2008	8/1/2011	1	0
132256001	8306333	81166	4	20	4	25	7/1/2006	10/1/2011	1	0
202332778	50225343	-9	6	-9	-9	-9	5/1/2005	8/1/2008	1	0
786716612	213069	145411	2	5160	5	22	7/1/2011	9/1/2012	1	0
440308560	4625749	145411	2	5759	4	15	9/1/2011	10/1/2013	1	0
1130946460	226818319	145411	1	1546	3	25	12/1/2013	9/29/2014	1	0
115538738	6293910	159348	3	309	3	6	8/1/1999	3/1/2011	1	0
111326581	253578	68097	7	131	4	-9	1/1/2003	12/1/2005	1	0
1152937710	4915384	145411	1	52	4	25	1/1/2014	9/29/2014	1	0
117863583	5191440	163718	5	39	4	8	7/1/2002	8/1/2003	1	0
709915480	1827863	145411	2	1358	5	8	9/1/2010	4/1/2013	1	0
122365747	8405626	60904	3	105	6	12	1/1/2008	12/1/2009	1	0
472739871	152165149	-9	2	31	3	25	8/1/2008	9/29/2014	1	0
982788959	14417102	156701	2	17868	5	25	6/1/2013	11/1/2013	1	0
400967469	4563641	-9	2	526	5	25	3/1/2011	6/1/2012	1	0
127915438	13300182	32660	4	736	3	21	1/1/2004	6/1/2004	1	0
900901828	194213016	81581	6	15434	3	18	7/1/2004	8/1/2004	1	0
412060969	21686593	27771	2	12261	5	17	7/1/2011	5/1/2013	1	0
418632133	18294139	667924	4	6446	4	15	10/1/2009	7/1/2010	1	0
233875450	26876501	98839	3	400	3	12	12/1/2009	9/1/2010	1	0
423390142	1844299	4700	3	2104	4	2	5/1/2005	4/1/2010	1	0
1204688654	152975687	156321	2	551	4	-9	2/1/2012	3/1/2014	1	0
1217816491	214853919	145411	1	1546	3	25	3/1/2014	9/29/2014	1	0
1200503631	316689660	3508876	2	1000	5	1	10/1/2011	6/1/2013	1	0
682047201	90749474	-9	10	1402	3	18	6/1/2001	9/1/2001	1	0
429352835	19938	-9	6	271	3	12	6/1/1995	7/1/1997	1	0
223346023	23639626	156811	5	10001	5	25	10/1/2009	4/1/2010	1	0
131844113	13836448	83367	2	8631	3	8	9/1/1999	2/1/2012	1	0
781296994	1221071	739662	10	41	3	8	6/1/1996	4/1/1998	1	0
259094620	33022608	41989	5	23	3	-9	2/1/2003	4/1/2004	1	0
198748051	20066676	158165	4	13202	5	15	4/1/2008	3/1/2011	1	0
632297828	1164869	146160	2	12641	5	26	1/1/2012	7/1/2013	1	0
187290411	12218495	49584	10	4326	3	22	1/1/2004	12/1/2005	1	0
135973271	20011015	159967	5	489	5	26	5/1/2008	3/1/2009	1	0
1303657488	198321990	56727	3	40	3	1	9/1/2010	9/1/2012	1	0
821716869	94275356	549872	2	134	4	25	10/1/2012	12/1/2013	1	0
318082707	7107508	145411	2	211	5	25	7/1/2011	9/29/2014	1	0
991924013	58645537	145411	2	2044	4	19	6/1/2013	12/1/2013	1	0
794255959	27330244	145411	2	631	9	12	10/1/2012	12/1/2012	1	0
199465012	11548035	20716	4	20	4	25	2/1/2007	7/1/2008	1	0
415402760	64713601	147793	6	420	3	8	2/1/2007	4/1/2009	1	0
1056895598	41804304	2986	5	21771	3	18	1/1/2003	8/1/2005	1	0
260601955	71450621	1231057	5	118	4	25	12/1/2007	6/1/2010	1	0
159085292	3516889	-9	4	10825	4	16	5/1/1999	3/1/2000	1	0
830837552	8832859	145411	1	92	4	-9	11/1/2012	9/29/2014	1	0
181230540	10350463	3497	4	13	3	8	5/1/2006	8/1/2006	1	0
931995878	30990561	145411	1	211	5	25	4/1/2013	9/29/2014	1	0
887045813	63155661	-9	6	37	5	-9	1/1/1995	12/1/1997	1	0
171156488	40075438	17126	8	8895	3	12	5/1/2000	3/1/2002	1	0
309067610	16025493	145411	4	211	5	25	10/1/2010	2/1/2012	1	0
108426937	5630555	6006	7	69	4	20	11/1/2002	3/1/2005	1	0
218265121	8994407	86892	3	4	4	20	7/1/2009	12/1/2009	1	0
862754466	39164805	145411	1	349	4	24	1/1/2013	9/29/2014	1	0
886681995	76514823	145411	2	2	5	-9	2/1/2013	9/1/2013	1	0
123791832	8556118	204633	4	209	3	22	7/1/2005	9/1/2005	1	0
376641875	85258111	856875	5	2354	3	7	5/1/2009	8/1/2009	1	0
973864558	203705157	145411	3	4171	2	8	5/1/2013	8/1/2013	1	0
110911155	3067504	83367	5	39	4	8	6/1/2000	9/1/2005	1	0
370879597	22631982	-9	7	5221	4	13	8/1/2003	8/1/2004	1	0
932426899	71684444	145411	1	39	4	8	3/1/2010	9/29/2014	1	0
